x_pos,y_pos
1888.888888888889,314.5161290322581
1000.0,1475.8064516129034
555.5555555555555,1475.8064516129034
1222.2222222222222,1475.8064516129034
1888.888888888889,1040.3225806451615
1888.888888888889,895.1612903225807
777.7777777777778,1475.8064516129034
1888.888888888889,1475.8064516129034
1888.888888888889,750.0
333.33333333333337,1475.8064516129034
1888.888888888889,1330.6451612903227
1444.4444444444446,1475.8064516129034
1888.888888888889,1185.483870967742
1888.888888888889,169.35483870967744
1888.888888888889,459.6774193548387
1888.888888888889,604.8387096774194
111.11111111111111,1475.8064516129034
1666.6666666666667,1475.8064516129034
