ssfe-ttt,ssfe-svd,rcond
45.61323408442467,15.835717299328909,7.871618100125595e-17
1.2351042527486544,1.127643492971405,7.331977017637561e-17
168.15835579420255,16.234868840348092,1.897118946916446e-17
40.30260314541862,4.066764385431378,4.1980133547385995e-17
222.7175871777552,7.990197516789858,7.345150984429843e-17
2.618496139492446,2.481105904332771,7.734709799288012e-17
3.1438781791126,3.0180578600513965,8.422650186710187e-17
2.000030240844094,2.2940417622744307,8.306968324174544e-17
285.00048791867266,5.038114554866695,7.308899543944445e-17
1.5543487542859264,2.4345002376648948,6.275215499508455e-17
