ssfe-ttt,ssfe-svd,e_rank
45.61323408442467,15.835717299328909,15.243445595503713
1.2351042527486544,1.127643492971405,55.512071491857675
168.15835579420255,16.234868840348092,34.22041576518592
40.30260314541862,4.066764385431378,38.48704182993349
222.7175871777552,7.990197516789858,42.01773343836469
2.618496139492446,2.481105904332771,25.727373683868507
3.1438781791126,3.0180578600513965,16.713488074734887
2.000030240844094,2.2940417622744307,27.487326853590346
285.00048791867266,5.038114554866695,30.04368545851876
1.5543487542859264,2.4345002376648948,79.59568731466624
