ssfe-ttt,ssfe-svd,s_rank
45.61323408442467,15.835717299328909,4.54777401004572
1.2351042527486544,1.127643492971405,5.88375958919574
168.15835579420255,16.234868840348092,6.815453415623878
40.30260314541862,4.066764385431378,7.372034065604721
222.7175871777552,7.990197516789858,7.315324677578019
2.618496139492446,2.481105904332771,5.5352631499014695
3.1438781791126,3.0180578600513965,3.370353227347862
2.000030240844094,2.2940417622744307,4.440778551306247
285.00048791867266,5.038114554866695,6.127996877812645
1.5543487542859264,2.4345002376648948,9.580071208076813
